Country Code,Country,Continent,Sub Region,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
POL,Poland,Europe,Eastern Europe,1.16,2.68,7.14,0.72,2.21,2.22,2.25,3.38,2.15,7.49,3.23,-1.31,-1.45,-2.27,-0.28,2.73,2.07,1.43,-0.53,8.04,22.18
PRT,Portugal,Europe,Southern Europe,0.52,0.96,2.64,5.07,4.9,2.28,4.77,-6.34,3.02,5.82,3.72,-0.64,-1.89,-3.26,-2.68,3.34,2.67,0.02,-4.18,8.87,23.0
PRY,Paraguay,Americas,South America,19.89,26.46,5.78,8.98,7.11,3.68,12.98,-0.32,6.55,12.63,3.29,0.49,2.85,1.94,4.97,3.21,2.7,1.42,2.74,8.64,16.32
ROU,Romania,Europe,Eastern Europe,23.05,19.52,19.1,7.61,6.7,6.37,12.69,2.52,4.37,7.1,5.41,2.09,-0.12,-1.84,-1.79,3.47,5.03,3.95,0.0,14.9,47.93
RUS,Russian Federation,Europe,Eastern Europe,10.44,16.38,23.36,20.57,12.41,14.09,21.42,-7.19,12.22,17.51,6.36,3.56,6.13,13.82,4.32,7.64,12.15,1.98,-3.76,24.47,19.96
SGP,Singapore,Asia,South-Eastern Asia,-6.91,-0.76,4.57,5.67,2.36,-1.56,3.43,-13.45,1.74,5.34,0.35,-3.07,-3.41,-9.16,-5.5,3.83,4.41,-3.32,-6.92,15.22,22.02
SLV,El Salvador,Americas,Central America,-2.01,2.99,6.55,9.07,4.75,4.74,16.59,-11.64,2.95,6.05,4.06,0.85,1.01,-0.11,-0.89,1.27,1.57,0.94,-0.21,3.09,5.62
SRB,Serbia,Europe,Southern Europe,10.68,5.89,9.55,11.91,12.16,6.24,13.03,5.55,12.7,14.75,5.58,3.08,0.93,0.29,-0.42,3.17,2.23,0.63,-1.19,8.62,15.98
SVK,Slovakia,Europe,Eastern Europe,2.07,6.3,1.83,3.49,3.26,-1.19,2.21,-6.95,0.53,4.6,1.74,-0.99,-3.42,-2.89,-3.98,2.43,2.52,1.91,-1.52,6.8,29.48
SVN,Slovenia,Europe,Southern Europe,3.61,1.22,2.58,1.88,2.25,4.19,3.84,-1.33,2.14,4.53,0.87,0.02,-0.61,-0.22,-1.36,2.15,2.07,0.68,-0.24,5.54,19.1
SWE,Sweden,Europe,Northern Europe,-0.07,0.0,0.7,3.99,5.08,3.69,4.36,1.14,1.06,0.38,-0.97,-2.8,1.43,0.01,-0.92,5.2,6.6,2.97,-0.25,10.69,22.15
THA,Thailand,Asia,South-Eastern Asia,1.67,4.01,6.72,9.18,7.07,3.22,12.42,-3.8,9.41,5.45,1.02,0.31,0.14,-4.11,-1.18,0.7,0.38,-0.96,-1.6,4.72,10.9
TJK,Tajikistan,Asia,Central Asia,9.35,15.27,16.43,7.54,42.68,21.85,20.83,-3.4,38.45,29.95,14.2,3.89,0.88,4.32,6.71,9.32,2.18,1.79,5.45,3.83,15.21
TUN,Tunisia,Africa,Northern Africa,3.09,2.36,2.81,4.12,7.33,3.23,11.71,2.88,2.65,5.82,5.11,1.77,2.05,5.05,1.41,4.6,7.94,5.98,1.86,9.27,10.78
TUR,Turkey,Asia,Western Asia,50.11,22.67,14.56,5.89,8.3,6.31,12.72,1.23,8.52,11.09,6.09,4.48,10.25,5.28,4.3,15.82,27.01,17.56,12.14,43.86,130.85
UKR,Ukraine,Europe,Eastern Europe,3.05,7.71,20.32,16.71,9.49,19.48,35.56,6.59,20.88,19.0,3.65,-0.05,17.17,35.69,20.92,26.45,17.58,4.14,-1.88,40.82,61.05
URY,Uruguay,Americas,South America,31.93,38.92,14.69,-2.57,5.92,11.81,16.94,2.11,7.61,15.93,6.43,3.94,10.41,6.83,3.35,1.67,9.67,12.78,10.46,14.42,14.19
USA,United States of America,Americas,Northern America,-2.29,5.35,6.18,7.32,4.67,4.8,9.81,-8.84,4.48,3.87,1.86,1.36,1.58,-0.87,0.42,2.33,2.9,1.69,-2.12,8.95,7.91
ZAF,South Africa,Africa,Southern Africa,0.22,-1.23,7.66,6.04,6.14,2.29,8.08,-5.5,7.08,8.91,4.47,6.0,7.4,3.61,7.08,4.88,5.45,4.62,2.49,7.12,14.36
