Country Code,Country,Continent,Sub Region,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
HND,Honduras,Americas,Central America,14.86,12.91,9.88,8.09,6.55,5.9,9.23,6.86,8.99,8.35,5.19,5.28,4.92,2.23,2.1,5.53,4.37,6.55,0.41,3.3,4.81
HRV,Croatia,Europe,Southern Europe,2.2,3.0,5.0,7.0,4.2,0.8,8.0,-2.8,9.9,7.0,10.8,1.8,0.7,-5.9,-5.7,-0.1,5.6,0.9,-6.5,8.8,19.6
HUN,Hungary,Europe,Eastern Europe,5.5,7.3,14.1,6.2,6.4,24.6,9.37,7.64,5.51,4.61,5.78,-5.36,-8.41,-1.19,0.55,1.12,1.83,0.54,1.47,11.24,12.92
IDN,Indonesia,Asia,South-Eastern Asia,14.55,11.74,7.78,9.09,10.63,4.95,8.57,5.03,2.96,4.18,3.36,4.89,5.91,6.31,1.79,4.99,2.65,2.28,0.95,0.37,2.5
IRL,Ireland,Europe,Northern Europe,1.11,-0.67,4.26,10.42,16.03,20.34,9.67,-21.94,1.29,9.74,0.6,0.67,-0.03,1.6,-0.48,2.03,5.1,1.09,-1.03,12.29,41.7
IRN,Iran (Islamic Republic of),Asia,Southern Asia,15.5,15.4,11.2,6.0,13.25,21.19,28.17,17.02,5.84,16.72,13.58,19.27,18.53,16.01,7.89,6.42,12.9,24.12,23.88,26.86,29.53
ISL,Iceland,Europe,Northern Europe,2.4,8.41,7.54,14.98,11.96,11.55,12.87,0.57,-0.5,6.16,5.16,3.9,5.83,6.01,6.64,11.92,6.48,2.76,2.4,7.38,17.53
ISR,Israel,Asia,Western Asia,11.59,-4.84,-2.78,-1.02,1.19,-2.17,3.29,12.53,5.02,5.87,3.71,2.98,2.49,2.31,2.19,1.77,2.07,-0.45,0.78,5.41,10.45
ITA,Italy,Europe,Southern Europe,0.27,3.32,1.96,4.9,5.7,2.58,6.45,-0.12,1.21,5.18,7.03,2.08,0.02,-0.81,-1.64,1.76,2.56,0.48,-8.21,14.08,48.83
JAM,Jamaica,Americas,Caribbean,6.39,15.61,19.03,20.42,13.34,9.04,28.68,2.81,20.67,12.24,5.85,8.29,6.47,-9.1,-1.38,11.1,6.31,1.3,2.14,5.31,8.18
JOR,Jordan,Asia,Western Asia,2.24,2.44,0.97,2.12,6.03,2.0,14.97,-2.94,4.59,3.86,3.43,6.83,4.75,0.57,1.16,2.8,3.53,1.55,-1.82,1.56,5.53
JPN,Japan,Asia,Eastern Asia,-0.12,-0.08,-0.22,-0.08,-0.02,-0.14,0.13,-0.18,-0.35,-0.22,-0.34,-0.4,0.02,0.04,-0.13,-0.16,-0.12,1.37,-0.39,3.96,17.31
KAZ,Kazakhstan,Asia,Central Asia,4.9,4.9,4.6,7.46,9.83,13.82,15.29,8.4,10.58,7.11,5.73,8.57,4.91,4.08,11.59,0.75,0.57,1.32,2.29,6.5,11.53
KEN,Kenya,Africa,Eastern Africa,-0.2,5.6,17.5,23.7,11.7,11.45,11.45,11.45,11.45,11.45,9.28,4.55,5.59,3.19,1.65,3.12,12.76,4.59,0.52,4.77,5.95
