Country Code,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BRN,0.3,-0.8,1.6,0.5,0.3,2.2,5.0,1.0,1.0,0.01,0.01,0.09,-0.23,0.82,-0.94,0.48,1.69,-0.03,2.06,2.38,4.97
BWA,9.3,11.4,4.6,5.4,12.49,11.39,20.19,14.28,3.68,6.88,7.92,5.4,3.01,1.34,2.66,3.43,-0.5,1.39,3.73,7.14,9.04
CAN,2.53,1.44,1.77,2.29,2.27,2.63,3.93,5.48,0.95,4.24,2.35,1.09,2.51,4.1,1.02,-1.01,0.81,3.68,2.4,2.2,9.63
CHE,2.31,1.27,0.51,-0.71,-0.04,0.52,3.1,-0.19,-1.11,-3.25,-0.98,1.22,0.92,-0.8,0.39,0.42,1.26,0.11,0.09,-1.59,1.45
CHL,1.86,3.2,-1.92,2.9,2.69,9.62,17.08,4.71,2.2,6.69,7.63,4.43,6.98,7.12,3.82,2.01,3.06,2.38,6.74,5.41,16.99
CHN,-0.7,3.44,9.79,2.82,2.48,12.36,14.42,0.71,7.34,11.89,4.93,4.7,3.07,2.45,4.48,-1.35,1.84,9.35,10.68,-1.7,2.61
CIV,5.6,4.0,-3.8,2.45,3.0,5.4,11.6,3.38,5.79,10.44,-0.3,1.95,-2.11,2.05,3.04,0.34,-0.49,1.04,4.2,7.68,9.08
CMR,4.8,-0.7,-2.0,1.1,6.9,1.0,9.2,5.98,1.23,4.81,3.43,3.23,0.77,2.02,1.08,0.04,1.22,2.88,3.5,4.25,11.88
COL,9.77,8.06,6.36,6.37,5.58,8.42,12.4,3.58,0.21,4.57,3.42,0.41,2.97,8.63,13.11,0.69,0.83,4.89,5.55,9.73,24.63
CPV,0.62,-0.15,-3.27,-0.08,6.47,5.03,9.08,2.08,2.2,5.21,2.64,0.73,-1.17,1.45,0.14,-0.18,0.45,1.39,3.67,0.56,12.7
CRI,10.16,8.76,14.89,17.8,11.6,15.1,23.89,8.17,4.64,5.6,3.53,3.83,4.27,3.19,-0.81,1.68,1.63,0.8,0.48,2.24,3.2
CYP,4.6,5.1,4.0,1.6,4.8,5.56,7.59,3.69,0.24,4.08,0.82,0.21,-1.46,-0.31,-0.26,-0.29,0.73,0.45,1.22,-0.38,7.77
CZE,-1.94,-2.18,3.41,-0.25,0.86,4.74,8.11,-3.97,1.47,4.63,6.91,4.91,2.02,-1.1,-0.93,5.18,1.31,2.82,4.54,0.8,15.89
DEU,0.83,-0.16,-0.31,0.03,2.03,3.81,6.07,-1.3,1.25,2.77,3.38,3.89,1.01,0.6,0.81,2.76,2.28,1.2,2.26,3.16,12.09
DNK,2.18,1.42,-1.02,0.65,2.72,4.46,7.57,-0.09,0.37,3.96,4.29,0.43,-0.87,1.04,0.1,2.81,0.04,1.39,0.64,0.58,11.16
DOM,4.6,27.8,71.18,-2.8,3.27,4.2,15.8,3.26,4.17,9.14,5.0,4.65,3.91,6.74,2.15,2.31,3.61,3.75,6.35,9.87,11.18
DZA,1.8,4.5,4.9,0.2,4.22,6.36,7.5,8.23,4.24,5.9,12.96,2.98,4.54,3.6,2.62,5.61,1.74,0.64,0.22,10.13,13.72
ECU,8.2,2.42,1.38,2.7,5.68,3.25,16.84,5.89,4.83,6.73,5.81,1.78,4.52,4.21,2.54,0.5,-1.63,0.04,0.76,-0.85,4.93
EGY,4.2,6.7,5.87,5.05,10.15,12.96,23.97,16.03,19.87,15.49,9.21,12.42,12.29,10.67,16.66,38.66,13.3,7.08,-0.2,4.6,22.19
ESP,4.7,4.1,3.87,3.16,4.11,3.69,5.88,-1.05,-0.84,2.05,2.33,2.79,-0.35,1.17,1.4,1.23,1.65,1.03,2.36,1.85,11.24
EST,3.04,-1.73,4.19,3.53,5.06,9.33,14.18,-4.01,3.03,9.66,3.85,4.14,0.02,-0.54,0.04,5.71,3.06,2.99,2.14,1.84,18.92
ETH,2.6,25.07,3.36,12.84,13.61,21.96,60.01,3.3,1.51,39.17,28.1,5.79,5.39,12.14,6.52,11.36,12.52,18.94,23.08,31.78,38.23
FIN,2.88,0.64,0.74,0.31,1.39,2.08,8.57,2.0,-3.58,6.28,5.16,5.36,0.14,-1.87,-1.14,-0.91,1.91,1.21,1.15,0.57,9.99
FJI,0.5,6.2,3.8,1.7,1.8,9.7,11.5,6.7,4.1,10.58,4.32,3.53,1.92,4.77,5.99,-2.15,1.08,4.88,-2.38,6.5,5.35
FRA,2.73,2.28,0.49,0.16,1.67,1.45,5.06,0.08,0.78,1.99,2.89,1.15,-0.84,0.4,0.55,1.09,1.97,2.45,2.03,0.62,6.76
GAB,0.2,1.9,-1.9,0.2,0.9,2.3,7.8,3.7,4.4,4.03,5.68,-0.42,3.0,2.83,-0.09,-0.72,1.85,3.1,1.67,1.35,5.25
GBR,0.82,1.29,0.79,1.52,2.4,4.51,9.16,5.47,3.42,5.5,3.25,3.73,-0.19,-2.58,-2.38,2.25,2.08,10.93,0.72,0.3,10.35
GEO,7.5,7.1,7.7,13.1,11.7,9.8,12.92,4.22,1.75,16.04,-4.49,-0.71,5.13,4.16,1.65,6.77,2.32,8.16,10.59,10.81,18.17
GHA,18.2,24.7,16.6,15.6,9.2,12.2,15.2,15.7,6.1,6.7,6.75,7.28,6.8,7.48,8.66,7.27,7.82,7.86,11.84,10.31,29.0
GIN,6.15,21.4,21.2,37.0,42.5,28.5,20.6,7.1,20.4,27.36,15.63,12.65,10.56,11.52,11.49,13.59,13.36,11.36,12.7,15.78,13.24
GRC,5.33,4.98,0.51,0.61,3.74,3.24,5.36,1.91,0.06,3.11,1.51,0.0,-1.68,1.8,-0.22,0.32,0.4,-4.7,1.36,1.36,11.41
GTM,10.53,5.74,10.28,13.21,7.14,9.89,15.11,2.02,3.45,10.66,7.18,8.38,7.46,9.32,9.94,8.9,7.23,7.82,6.37,4.79,8.62
HKG,-2.09,-1.56,1.12,1.76,1.74,4.28,10.14,1.32,2.32,7.01,5.81,4.41,4.14,3.91,3.38,2.18,3.35,4.86,3.29,1.41,4.63
HND,3.9,3.57,6.77,10.05,4.24,9.55,17.18,3.58,1.83,6.15,3.01,5.06,6.72,3.25,0.97,1.58,3.52,2.17,4.68,2.9,13.1
HRV,0.2,1.65,1.42,4.57,2.52,3.33,9.99,1.62,-1.53,3.54,3.71,3.72,-2.19,0.39,-0.47,2.91,0.99,-0.12,1.93,1.62,15.03
HUN,5.34,2.69,6.47,2.45,7.72,11.46,10.1,4.37,3.12,6.63,5.9,2.75,-0.36,0.86,0.65,2.74,4.15,5.11,7.25,3.45,25.72
IND,1.4,5.0,4.2,1.9,10.3,10.3,10.1,11.1,10.3,8.6,9.26,12.86,7.09,5.26,5.34,1.82,1.67,3.58,8.75,3.69,7.25
IRL,3.47,1.47,-0.27,-0.7,1.39,2.8,6.54,-3.47,-4.56,1.15,0.57,1.06,-2.24,-2.14,-1.33,-2.07,-2.03,-0.67,-1.41,-0.25,6.45
IRN,16.3,17.7,13.0,13.0,10.3,20.65,31.02,11.87,12.42,26.07,37.99,50.08,13.75,10.52,6.57,12.52,23.13,55.71,27.77,59.22,58.62
ISL,4.21,-2.66,1.07,-2.57,7.97,-1.06,15.99,17.53,4.24,3.83,6.09,5.09,0.51,2.84,1.32,-2.42,2.49,3.8,4.9,3.51,6.97
ISR,2.77,2.83,-0.64,1.66,5.1,4.1,12.27,1.07,2.45,3.34,0.53,5.21,-1.35,0.04,-1.27,0.04,0.92,2.08,-0.01,0.99,4.35
ITA,3.64,3.19,2.16,-0.07,1.71,2.9,5.39,1.8,0.2,2.47,2.52,2.37,0.13,1.1,0.17,1.88,1.22,0.77,1.4,0.58,8.75
JAM,6.63,9.07,14.34,19.35,6.29,11.91,30.67,13.05,10.1,7.69,10.82,12.5,8.62,7.77,3.98,4.46,4.08,6.33,10.83,6.72,12.59
JOR,0.2,2.6,4.6,5.1,7.4,9.53,19.79,1.7,4.53,4.22,4.56,4.23,0.32,1.12,-3.48,-0.41,3.23,0.28,2.33,0.1,3.68
JPN,-0.81,-0.17,0.95,-0.94,0.5,0.33,2.6,0.21,-0.35,-0.4,0.09,-0.12,3.82,3.08,1.69,0.72,1.41,0.22,1.2,-0.05,4.66
KAZ,6.8,7.0,7.7,8.1,8.7,12.2,23.4,13.87,9.01,7.83,4.34,4.14,6.65,6.56,12.79,8.58,4.73,8.09,10.44,10.77,18.47
KEN,1.4,16.3,19.0,14.6,27.9,10.9,35.1,27.81,18.89,20.51,9.98,7.26,8.71,11.39,10.08,13.37,1.55,7.96,9.13,8.45,12.8
KGZ,0.2,2.8,3.2,5.3,8.8,1.84,-0.78,-2.21,2.68,-1.68,0.06,-0.22,0.95,-1.44,-0.07,2.46,-2.16,1.41,11.68,17.97,14.36
KHM,1.8,1.5,6.4,8.4,6.5,10.0,33.0,1.7,2.3,6.14,3.51,3.88,4.89,4.02,5.6,3.39,2.46,2.07,4.65,2.75,5.25
KOR,4.81,4.65,8.07,3.11,0.53,2.5,4.95,7.58,6.41,8.14,3.96,0.86,0.29,1.65,2.31,3.4,2.77,0.05,4.43,5.89,5.97
KWT,0.7,5.4,3.2,8.5,3.9,4.7,11.7,3.2,8.4,7.54,4.78,4.01,2.9,3.39,1.71,0.16,0.05,1.08,4.88,9.48,7.84
LCA,-1.2,2.1,0.8,7.1,3.3,6.39,7.91,3.13,-0.18,2.73,6.51,5.06,2.09,0.23,-3.22,-1.45,3.66,2.17,-2.21,-0.05,3.44
LSO,26.6,5.6,4.0,2.6,8.98,14.15,15.68,8.5,3.5,6.97,9.86,5.38,5.31,6.14,11.84,6.43,4.44,6.83,10.34,9.64,8.56
LTU,-0.71,-3.7,2.22,3.92,6.09,11.26,15.93,1.64,-0.45,8.25,3.05,1.67,0.77,-0.86,1.23,3.56,1.44,2.93,2.26,2.77,25.4
LUX,3.91,1.93,1.83,1.64,2.37,3.36,5.37,1.43,0.87,2.56,2.57,3.65,0.56,0.77,1.53,2.82,2.21,1.4,2.73,0.9,6.64
LVA,3.42,2.63,7.37,9.21,8.15,13.48,18.26,-0.06,-0.29,8.44,2.31,1.34,-0.28,-1.26,1.07,5.59,0.58,2.92,2.38,2.24,20.86
MDA,4.3,13.6,12.7,10.6,9.1,10.9,15.4,-5.6,6.3,8.9,8.9,-0.2,-0.2,0.73,-0.92,0.47,5.51,7.61,7.35,7.11,32.48
MDG,15.0,-3.7,19.3,26.4,6.2,11.8,10.4,8.3,6.4,13.5,5.17,4.96,5.41,6.52,6.39,9.3,10.86,4.82,3.81,7.44,7.74
MDV,3.6,-6.1,16.0,2.1,4.0,16.2,19.1,0.5,7.5,19.93,17.63,7.16,0.72,0.48,0.58,6.13,-1.08,-0.79,2.73,1.8,4.48
MEX,3.75,5.53,7.22,5.37,3.66,6.62,8.15,8.82,3.31,4.36,8.12,5.17,4.74,3.99,4.47,6.97,4.8,4.39,6.62,7.23,13.29
MKD,1.8,-1.79,-2.88,-1.2,2.06,3.72,14.87,-1.2,0.12,6.16,2.29,3.43,-0.97,0.07,-1.3,0.25,0.82,1.62,2.41,3.13,18.87
MLI,7.2,-4.1,-7.0,11.3,-0.4,1.84,13.01,3.15,5.12,5.14,8.04,-3.28,-0.21,3.05,-3.27,2.53,2.16,-5.37,2.5,5.18,14.32
MLT,1.3,1.7,0.21,1.76,2.0,4.36,8.03,6.37,1.02,3.84,4.7,4.78,0.53,2.97,2.16,3.46,2.92,3.62,2.14,2.35,10.02
MOZ,19.6,12.5,10.8,5.4,17.0,10.3,18.86,7.01,15.32,13.18,3.13,5.35,3.83,5.22,27.23,16.39,0.01,3.28,7.6,10.94,12.43
MRT,4.4,6.0,6.0,13.7,5.4,10.5,9.6,2.6,7.6,6.36,4.3,4.41,5.07,5.64,2.28,3.08,4.2,2.72,2.19,5.79,13.0
MUS,2.8,2.8,6.0,5.83,10.04,15.55,15.84,4.08,3.71,5.86,2.16,3.41,4.62,3.24,1.06,3.73,5.81,0.72,6.22,4.33,14.5
MYS,0.7,1.3,2.1,3.7,3.39,3.02,8.84,4.13,2.39,4.81,2.69,3.56,3.34,3.63,3.78,3.98,1.63,1.65,1.27,1.77,5.3
NAM,19.5,9.06,0.98,1.3,6.49,11.94,16.79,10.54,3.17,4.93,9.04,6.51,8.26,5.64,10.77,5.6,3.18,4.3,5.22,5.73,7.18
NCL,4.5,-4.7,-1.5,14.9,-1.82,-0.53,20.36,11.17,0.33,3.43,3.23,4.44,-1.27,0.46,-1.21,0.75,-0.57,-4.59,-0.21,7.47,8.15
NER,4.5,-4.7,-1.5,14.9,-1.82,-0.53,20.36,11.17,0.33,3.43,3.23,4.44,-1.27,0.46,-1.21,0.75,-0.57,-4.59,-0.21,7.47,8.15
NGA,13.9,6.4,14.45,22.78,5.58,2.13,15.92,14.7,14.86,10.19,11.18,9.51,9.45,9.86,14.83,19.45,14.32,13.68,16.08,20.3,20.06
NIC,3.2,4.3,10.7,11.5,9.1,17.2,29.4,2.4,4.5,9.11,8.6,9.39,7.87,4.74,1.52,0.58,4.18,4.58,5.13,6.38,15.64
NLD,3.28,1.11,-3.47,-1.29,1.64,1.03,5.63,1.08,-0.08,2.21,2.02,2.41,-0.06,0.65,0.95,2.66,0.79,4.05,1.9,-0.21,10.15
NOR,-1.71,3.36,1.81,1.6,1.39,2.71,4.21,4.18,0.21,-0.09,1.21,1.05,3.09,2.89,2.58,0.01,2.53,1.07,3.27,-2.03,6.1
NZL,2.91,-0.44,0.36,1.24,2.98,3.98,8.44,6.05,0.95,5.2,-0.72,0.43,0.31,-0.06,-0.6,2.17,-0.24,1.08,3.18,1.76,7.6
OMN,0.14,1.12,1.28,4.45,6.31,10.98,22.68,0.0,1.77,4.6,2.17,2.76,1.74,-0.81,-1.17,0.55,-0.7,1.21,1.25,0.83,5.24
PAK,2.5,2.5,10.7,9.9,8.5,10.8,27.6,13.3,17.02,14.56,8.48,8.17,5.79,0.55,2.46,3.29,2.19,11.63,15.38,10.51,22.68
PAN,-0.6,1.2,1.3,4.2,1.31,6.72,14.93,5.77,2.87,5.91,8.08,5.75,3.04,-1.69,1.47,-0.54,-0.64,0.49,-0.82,1.64,3.38
PHL,2.01,0.99,6.01,6.34,5.18,3.72,12.94,6.27,3.98,5.48,2.59,2.53,5.77,1.89,1.58,3.05,6.85,2.06,2.73,4.56,5.47
PNG,17.1,13.3,0.5,3.5,5.3,0.6,16.6,7.2,5.4,-0.54,-1.06,-1.72,4.9,4.86,5.07,2.83,0.81,3.01,2.23,4.36,5.68
POL,-0.66,-1.19,6.2,2.17,0.63,4.5,5.67,4.56,2.76,5.11,4.11,1.94,-0.92,-1.63,0.89,4.35,2.56,4.85,4.73,3.18,14.81
PRT,1.53,2.31,1.12,-0.57,2.69,2.45,3.72,-3.44,-0.24,2.1,3.2,1.94,-1.34,1.01,0.49,1.53,0.74,0.32,2.09,0.74,12.33
PRY,10.89,22.79,7.66,5.74,15.67,17.41,15.82,0.6,8.51,13.33,-1.89,3.22,6.45,2.95,5.86,5.74,3.9,1.16,1.21,9.22,16.65
QAT,1.3,-0.4,3.6,3.2,6.9,7.4,19.9,11.0,2.1,3.46,3.13,2.3,0.23,0.84,-1.85,1.92,-0.05,0.02,0.26,2.67,4.76
ROU,18.5,14.83,9.56,6.16,3.9,3.9,9.22,3.26,2.34,6.02,1.91,2.96,-1.63,-3.8,-2.58,2.48,3.75,4.7,4.8,2.81,15.73
RUS,12.2,11.2,10.3,13.39,9.19,8.8,21.12,11.61,6.59,10.86,3.29,6.15,9.96,20.99,5.76,2.7,1.62,5.05,3.9,9.6,12.85
RWA,-1.2,13.8,18.9,10.1,9.92,7.83,16.32,16.25,1.66,6.54,12.41,5.09,1.17,3.86,10.81,9.45,2.88,3.72,15.4,-4.15,25.02
SAU,-0.6,2.58,2.76,3.0,5.34,6.97,14.11,1.96,6.27,5.15,4.44,5.83,1.37,0.64,-1.3,-0.83,6.48,2.07,9.0,5.39,3.67
SEN,4.76,-0.61,0.75,3.89,1.37,7.27,13.01,-3.24,3.97,6.66,2.48,1.3,-1.86,1.81,3.31,3.74,1.06,0.98,3.3,2.78,13.94
SGP,0.03,0.6,2.02,1.29,1.55,2.96,7.73,2.27,1.36,3.05,2.33,2.11,2.91,1.93,2.05,1.4,1.44,1.53,1.86,1.6,4.92
SLE,-0.8,7.5,7.5,7.3,7.3,11.0,8.51,8.3,8.59,7.75,6.71,5.68,4.66,8.36,12.57,19.44,17.7,8.81,8.55,16.96,26.77
SLV,1.9,1.9,6.3,6.2,3.1,6.3,12.1,-4.3,1.02,6.94,0.3,2.39,3.19,1.37,-0.56,0.16,0.53,1.16,1.58,2.27,12.17
SVK,1.43,3.38,4.8,-1.37,1.42,3.99,7.67,-3.23,1.61,6.06,4.19,3.51,-0.78,-0.29,-2.78,3.97,3.9,4.0,2.52,1.83,17.67
SVN,7.51,4.46,0.53,-1.01,2.28,8.02,10.02,0.49,0.7,4.39,4.11,3.6,-0.3,0.83,0.92,2.22,2.67,1.6,3.52,-0.2,11.63
SWE,3.25,0.32,-0.44,-0.69,0.76,2.03,6.91,2.89,1.45,1.28,1.48,2.21,0.37,2.33,1.05,2.14,2.37,34.36,2.14,0.41,10.65
TCD,6.21,-2.56,-5.36,11.38,-1.98,-11.07,16.32,9.3,-3.82,1.65,12.34,-1.62,2.52,2.47,-2.71,-3.72,-1.86,-5.39,9.44,-1.63,5.93
TGO,3.9,-5.7,-1.2,1.83,2.47,3.89,5.67,9.5,-0.34,1.15,3.37,0.57,-4.35,5.88,3.15,-4.15,0.31,-0.52,3.39,9.83,12.07
THA,0.44,3.69,4.52,4.95,4.56,4.04,11.59,4.4,5.44,7.96,4.85,3.41,3.94,1.13,1.61,0.0,0.41,2.31,1.23,-0.13,6.49
TON,16.8,9.6,9.1,6.0,2.94,7.35,7.69,7.85,2.98,6.57,1.47,1.86,3.65,1.86,1.33,8.6,9.1,1.73,1.9,7.24,10.24
TTO,10.12,13.65,12.88,22.99,23.13,17.45,25.9,12.68,22.07,10.47,19.09,8.73,10.04,8.56,7.47,2.92,1.12,0.57,2.8,4.4,9.04
TUN,4.0,3.4,4.9,0.1,5.4,2.8,6.2,4.3,9.39,4.58,7.03,7.18,4.95,4.51,2.72,5.63,7.25,6.87,4.66,6.34,9.72
TUR,49.58,22.66,6.81,4.93,9.7,12.42,12.79,8.02,10.58,6.24,8.41,9.1,12.62,11.15,5.79,12.7,17.96,19.54,13.85,24.28,85.17
TZA,4.1,6.53,8.24,4.74,7.0,7.01,12.65,17.53,7.64,15.97,20.59,8.47,7.43,8.41,7.5,9.12,2.96,2.86,4.79,4.26,6.87
UGA,3.24,-0.21,-3.07,-6.87,5.94,2.66,19.85,25.25,2.66,29.26,13.61,2.25,3.82,7.43,5.53,10.1,-1.19,-0.2,1.76,0.67,12.64
UKR,0.0,6.2,11.3,16.6,5.31,9.64,35.68,11.94,10.88,6.42,-2.13,-2.16,12.05,45.92,8.96,12.88,11.15,8.0,2.74,10.79,25.26
URY,15.03,22.53,11.39,3.04,5.64,16.15,13.7,5.2,5.99,9.54,8.39,10.68,10.42,9.47,9.62,2.81,8.34,8.76,13.76,6.8,10.95
USA,1.84,2.14,3.37,2.43,2.35,3.91,5.37,1.88,0.79,3.58,2.55,1.41,2.31,1.8,0.34,0.88,1.4,0.89,3.51,3.47,11.35
VEN,28.31,37.61,33.81,21.14,20.07,26.83,42.82,27.96,32.97,29.92,24.8,54.15,86.73,218.67,217.74,482.7,38386.0,17710.79,2220.0,1934.56,193.71
VNM,7.6,2.51,12.52,11.08,8.68,11.23,36.89,8.46,11.41,26.69,7.9,2.69,4.0,1.48,2.61,-1.08,3.24,4.07,9.44,0.73,1.96
ZAF,17.39,8.07,1.88,2.0,6.1,9.51,15.31,9.53,1.37,7.13,7.15,5.7,7.6,5.12,10.53,6.95,3.58,3.55,4.39,6.1,8.97
ZMB,27.1,22.1,16.4,18.6,4.9,5.3,13.8,14.2,5.2,4.83,7.01,6.52,7.25,11.08,21.26,5.76,7.14,10.44,16.24,27.71,15.68
ZWE,135.1,386.4,369.5,223.9,1034.2,7375.3,7375.3,-15.08,3.83,3.99,4.62,1.69,-3.12,-3.34,-3.26,2.5,14.59,86.12,601.02,105.8,63.31
AUS,4.77,26.14,2.18,2.39,-12.31,31.31,3.83,2.12,58.17,2.45,2.11,1.13,2.57,2.33,27.38,5.54,1.54,1.49,0.44,1.41,5.05
AUT,2.16,1.41,1.78,1.69,0.92,1.62,1.94,1.77,1.41,2.35,2.09,2.07,1.98,1.85,1.47,1.97,1.81,1.65,1.9,2.15,5.28
ARM,0.14,2.5,4.92,0.79,2.71,3.78,11.75,3.69,7.49,8.63,5.26,5.85,1.88,5.14,-2.02,0.7,3.7,1.17,1.3,7.23,8.28
BEL,-8.18,24.44,1.87,2.14,0.61,1.63,1.94,1.94,1.4,1.81,2.24,1.35,1.57,1.37,1.96,1.52,1.31,3.77,1.48,1.61,4.42
BRA,8.38,13.08,7.92,7.45,4.52,3.56,4.92,5.18,5.03,6.48,5.6,5.81,6.49,8.61,7.61,4.47,3.28,3.52,2.23,5.1,8.94
CAN,2.68,2.42,1.34,1.36,1.27,2.04,1.06,1.69,1.34,1.43,1.35,0.83,1.56,2.55,2.02,1.78,2.02,2.29,1.29,2.4,5.03
CHE,0.63,-0.78,0.8,0.82,0.71,0.63,1.45,1.09,0.22,2.61,0.27,-0.85,-0.01,-0.35,-0.33,0.29,0.37,0.46,-0.25,0.36,1.71
CHL,2.68,1.63,1.22,2.38,2.99,2.35,5.18,1.16,0.53,1.25,2.21,1.49,3.59,4.67,4.0,2.03,1.72,2.21,2.29,3.82,8.97
COL,5.78,6.44,5.66,4.62,3.72,5.79,5.61,4.66,2.83,2.88,3.31,2.48,2.77,4.19,6.58,5.06,3.35,3.44,2.25,2.07,6.22
CRI,8.81,9.77,9.54,10.41,10.81,7.94,12.46,9.76,5.14,4.58,4.63,5.31,4.34,1.81,0.14,1.24,2.1,2.38,1.31,0.88,1.88
CZE,0.56,-0.01,1.5,0.49,0.67,1.46,2.11,-0.84,0.09,1.07,0.78,0.06,0.75,0.15,0.51,2.57,1.86,2.22,3.63,4.99,12.18
DEU,1.56,0.94,1.71,1.06,1.13,1.94,1.44,1.27,0.71,0.92,1.28,1.26,1.37,1.67,1.21,1.23,1.31,1.49,0.96,2.13,3.72
DNK,2.52,2.32,1.3,1.38,1.4,1.41,13.46,2.26,1.84,1.81,1.9,1.21,0.87,-19.08,2.05,14.47,0.65,0.76,0.93,1.2,3.87
DOM,4.84,23.72,47.11,4.9,5.09,4.58,7.22,5.18,3.46,5.54,3.71,4.88,3.24,2.23,1.68,2.18,2.58,2.14,3.63,5.92,7.07
ESP,2.84,2.9,35.36,2.48,2.75,44.43,1.04,-3.83,0.57,1.3,24.55,1.08,-0.05,0.52,0.84,1.13,0.93,0.96,0.57,0.57,3.62
EST,2.92,2.41,1.22,1.87,3.31,5.43,6.46,1.87,0.75,2.3,2.2,1.41,1.0,1.42,1.33,2.12,2.3,2.12,0.15,2.78,9.5
FIN,1.54,0.61,-0.21,0.19,1.27,2.64,2.55,0.4,1.19,2.04,2.27,0.98,1.46,0.56,0.96,0.66,0.68,0.83,0.5,1.73,3.97
FRA,1.79,2.1,2.17,1.54,1.29,-11.35,14.63,-11.68,17.02,1.1,1.35,0.87,1.0,0.55,0.42,8.94,1.01,0.74,0.97,0.96,2.72
GBR,1.48,1.28,1.07,1.44,1.7,1.9,1.9,1.6,2.0,2.8,2.1,1.9,1.6,1.3,1.6,2.3,1.9,1.7,1.5,2.3,5.26
GRC,3.42,5.93,3.18,3.16,2.45,2.74,6.95,2.23,3.39,1.88,0.2,-2.02,-1.24,-1.01,-1.13,0.45,22.3,-2.43,-0.67,-0.62,3.17
GTM,6.79,4.71,5.71,6.65,5.1,4.85,8.14,2.67,2.49,4.7,3.93,3.78,3.16,3.19,3.12,2.96,2.72,3.04,2.41,3.0,4.25
HND,8.42,7.7,7.64,7.88,5.99,6.59,9.91,7.18,3.96,5.58,6.15,5.69,5.93,4.83,3.55,3.96,3.85,4.04,3.98,4.59,7.92
HRV,2.91,1.82,2.28,1.96,3.45,3.23,3.45,3.57,0.48,0.6,0.96,1.04,0.44,0.73,0.14,0.71,0.86,0.91,1.0,1.61,6.12
HUN,5.84,4.53,5.7,2.06,2.23,5.3,5.08,4.12,2.99,2.73,5.07,3.33,2.17,1.21,1.39,2.32,2.48,3.78,3.05,4.55,9.8
IRL,17.0,3.92,2.37,2.45,4.17,5.87,3.26,-4.34,-1.22,26.63,-2.24,0.66,0.93,-12.55,0.96,0.33,0.14,1.13,0.27,1.8,4.67
ISL,6.17,3.03,3.21,5.05,6.29,6.55,11.4,11.39,4.68,2.61,4.59,4.1,2.73,2.09,2.16,2.43,2.53,2.93,2.89,4.38,7.67
ISR,5.95,-0.27,-1.21,0.11,1.43,0.05,2.82,4.25,2.86,2.96,1.26,0.88,0.76,0.5,0.05,-0.02,0.68,0.9,-0.14,1.25,3.85
ITA,-22.89,2.48,2.13,2.05,1.73,1.91,35.2,-13.39,13.78,-3.33,1.75,1.12,0.83,0.68,-28.62,0.69,0.61,0.6,0.49,0.8,2.79
JPN,-0.77,-0.3,-0.39,-0.31,-0.23,-0.14,0.35,-0.78,-1.1,-0.75,-0.49,-0.09,1.98,1.02,0.4,-0.07,0.19,0.45,0.11,-0.73,0.19
KOR,2.97,3.06,2.93,2.35,1.8,2.32,4.26,3.55,1.76,3.18,1.68,1.65,1.99,2.2,1.6,1.48,1.17,0.89,0.35,1.37,3.56
LTU,0.48,0.74,0.65,1.17,2.27,5.08,8.98,3.93,0.07,2.29,2.26,1.25,1.0,1.24,2.23,3.89,2.18,2.41,3.06,3.5,10.05
LUX,-27.15,28.19,-19.78,27.67,12.35,2.12,1.99,2.02,1.58,2.39,2.09,2.08,1.31,1.61,0.95,1.37,0.88,1.8,1.29,1.57,4.04
LVA,1.64,0.76,4.42,4.32,4.75,8.45,12.16,5.38,-2.19,0.81,0.36,0.16,1.83,1.81,1.55,1.6,2.25,2.78,1.22,1.88,6.85
MAR,1.6,1.1,1.5,1.6,3.1,1.7,4.5,0.7,0.4,1.8,0.9,1.5,1.2,1.4,0.8,1.3,1.8,0.58,0.54,1.59,5.42
MEX,4.49,3.86,3.82,3.54,3.34,3.84,4.72,5.01,3.89,3.21,3.42,2.72,3.18,2.36,2.97,4.68,3.82,3.71,3.2,3.86,5.95
MUS,4.76,6.63,15.0,15.93,12.67,6.59,9.55,3.79,2.78,4.75,3.06,2.57,3.11,1.75,2.25,2.18,1.79,1.77,3.06,4.48,7.3
NGA,8.09,19.8,13.08,10.48,13.89,2.91,6.71,11.17,11.98,10.64,13.26,6.78,7.16,8.16,12.59,12.96,11.19,9.76,10.85,13.75,15.53
NLD,3.39,2.09,1.62,1.33,0.41,1.47,2.2,4.84,1.68,1.68,1.95,2.74,1.48,1.37,32.3,0.95,1.31,7.17,2.17,1.92,4.08
NOR,2.02,1.1,0.5,1.39,0.99,1.67,2.31,2.59,1.45,1.83,1.57,1.65,2.47,2.61,3.26,1.73,1.2,2.59,3.14,1.66,3.49
NZL,2.73,1.83,2.15,2.84,2.78,2.35,1.96,2.61,1.88,2.62,1.3,1.24,1.48,1.27,1.37,1.4,1.15,1.84,2.31,3.71,5.74
PER,1.12,0.99,1.08,1.14,1.37,1.95,4.57,4.36,1.92,2.97,3.58,3.5,3.5,3.82,4.0,2.97,2.33,2.39,1.78,2.4,5.51
PHL,3.3,2.5,4.2,6.2,5.4,2.9,5.8,4.2,3.6,4.3,3.7,2.9,3.0,2.1,1.9,2.9,3.92,3.03,3.22,3.59,4.43
