Country Code,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
FJI,0.72,4.22,2.83,2.3,2.53,4.81,7.73,3.65,3.69,7.28,3.42,2.91,0.53,1.38,3.87,3.35,4.08,1.77,-2.6,0.16,4.52
FRA,1.92,2.1,2.14,1.75,1.68,1.49,2.81,0.09,1.53,2.11,1.95,0.86,0.51,0.04,0.18,1.16,1.85,1.3,0.48,1.64,5.2
FSM,-0.16,-0.24,1.75,4.08,4.4,3.64,6.55,7.71,3.7,4.06,6.28,2.15,0.68,-0.16,-1.04,0.1,1.5,1.86,0.48,2.09,5.79
GAB,0.16,2.11,0.41,1.17,-1.41,-1.02,5.26,1.88,1.45,1.26,2.68,0.48,4.51,-0.14,2.09,2.65,4.78,2.02,1.37,1.08,4.23
GBR,1.47,1.32,1.43,2.06,2.52,2.33,3.48,1.97,2.5,3.88,2.56,2.29,1.43,0.4,1.0,2.68,2.32,1.79,0.99,2.5,7.9
GEO,5.59,4.84,5.6,8.24,9.22,9.23,10.0,1.72,7.11,8.52,-0.91,-0.51,3.07,4.03,2.12,6.04,2.62,4.85,5.2,9.57,11.9
GHA,14.85,26.63,12.67,15.1,11.68,10.73,16.5,13.14,6.7,7.68,7.07,11.67,15.49,17.15,17.44,12.37,9.84,7.18,9.95,9.97,31.92
GIN,2.96,11.04,17.46,31.36,34.7,22.86,18.37,4.68,15.47,21.35,15.23,11.89,9.71,8.15,8.17,8.91,9.83,9.47,10.6,12.6,12.72
GMB,8.61,17.03,14.29,4.96,2.06,5.37,4.45,4.55,5.05,4.8,4.64,5.24,6.26,6.81,7.22,8.05,6.52,7.12,5.93,7.37,11.31
GNB,3.3,-3.47,0.82,3.36,1.95,4.63,10.44,-1.64,1.07,5.05,2.06,0.78,-1.03,1.48,1.5,1.06,1.44,0.25,1.46,3.27,5.52
GNQ,7.58,7.32,4.24,5.64,4.47,2.8,4.65,5.74,5.32,4.8,3.44,3.18,4.3,1.7,1.4,0.75,1.08,1.21,4.77,-0.09,5.14
GRC,3.63,3.53,2.9,3.55,3.2,2.89,4.15,1.21,4.71,3.33,1.5,-0.92,-1.31,-1.74,-0.83,1.14,0.63,0.52,-1.25,1.22,9.6
GRD,1.07,2.15,2.31,3.48,4.25,3.86,8.03,-0.31,3.44,3.03,2.41,-0.04,-0.98,-0.58,1.72,0.91,0.81,0.6,-0.74,1.22,1.22
GTM,8.13,5.6,7.57,9.1,6.56,6.83,11.36,1.87,3.86,6.21,3.78,4.34,3.42,2.39,4.45,4.43,3.75,3.7,3.21,4.26,6.89
GUY,5.36,5.98,4.67,6.93,6.68,12.2,8.1,2.95,4.3,4.41,2.39,1.91,0.68,-0.87,0.83,1.94,1.27,2.09,0.72,3.32,7.59
HKG,-3.05,-2.6,-0.35,0.92,2.01,2.03,4.3,0.58,2.31,5.28,4.06,4.32,4.44,3.0,2.42,1.48,2.41,2.87,0.33,1.57,1.88
HND,7.71,7.66,8.11,8.8,5.58,6.95,11.39,5.5,4.71,6.76,5.2,5.15,6.13,3.16,2.72,3.93,4.34,4.36,3.47,4.48,9.09
HRV,1.67,1.77,2.05,3.32,3.18,2.9,6.08,2.37,1.03,2.26,3.41,2.22,-0.21,-0.46,-1.12,1.13,1.5,0.77,0.28,2.55,10.78
HTI,9.35,26.73,28.32,16.76,14.21,8.96,14.38,3.43,4.14,7.39,6.78,6.78,3.94,7.52,13.38,14.74,12.89,17.31,22.8,15.94,26.82
HUN,5.27,4.66,6.74,3.56,3.93,7.96,6.04,4.21,4.86,3.93,5.65,1.73,-0.23,-0.06,0.39,2.41,2.85,3.37,3.33,5.11,14.6
IDN,11.9,6.76,6.06,10.45,13.11,6.41,10.23,4.39,5.13,5.36,4.28,6.41,6.39,6.36,3.53,3.81,3.2,2.82,1.92,1.56,4.21
IND,4.3,3.81,3.77,4.25,5.8,6.37,8.35,10.88,11.99,8.86,9.31,10.91,6.35,5.87,4.94,3.6,4.86,4.76,6.62,4.89,6.69
